Year,2 Wheeler Penetration,3 Wheeler Penetration,4 Wheeler Penetration,E-Bus Penetration,,,,,,,,,,,,,,,
2018,"15,433",5504.00,866,43,,,,,,,,,,,,,,,
2019,"27,754",2025.00,679,460,,,,,,,,,,,,,,,
2020,"27,271",1454.00,"3,117",88,,,,,,,,,,,,,,,
2021,"1,43,283",7108.00,"11,680","1,186",,,,,,,,,,,,,,,
2022,"5,35,018",20756.00,"31,737","2,194",,,,,,,,,,,,,,,
2023,"13,81,000",48682.00,"42,867","3,739",,,,,,,,,,,,,,,
2024,"30,87,000",95109.00,"53,198","5,795",,,,,,,,,,,,,,,
2025,"46,30,000",156850.00,"67,254","8,113",,,,,,,,,,,,,,,
2026,"60,19,000",196262.00,"84,632","12,170",,,,,,,,,,,,,,,
2027,"72,22,800",241928.00,"1,01,650","15,456",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
