StartUp,Total Investors,Average Funds Growth,Viability Quotient,Investment Intensity Index,Investor Confidence Index,Monthly Engagement Rate,Total Monthly Downloads
BluSmart Mobility,560,124.04099776468198,20.0,26.035714285714285,0.0967741935483871,0.03909999999999994,11169600
Zypp,340,95.54809941520469,20.0,16.48235294117647,0.15,3.864300000000009,4233500
Ola Electric ,220,-2.88294759719288,20.0,504.1818181818182,0.26666666666666666,0.14729999999999965,3736400
Euler Motors,189,181.88312932993784,9.8,27.22962962962963,0.15625,40.856,0
Ather Energy,170,84.0691722105509,10.0,444.32941176470587,0.34615384615384615,0.5446999999999993,5786800
Battery Smart,110,-3.4385964912280684,8.333333333333334,26.863636363636363,0.18518518518518517,0.9139000000000006,115375
RACEnergy,105,2246.1603383458646,9.8,3.7104,0.21052631578947367,0.0,0
Oben Electric,95,700.0,8.333333333333334,3.2,0.09523809523809523,0.0,0
ElectricPe,87,18.194747474747484,3.0,2.5482758620689654,0.09375,0.9614000000000001,99702
Yulu,84,94.7407116692831,8.166666666666666,78.18333333333334,0.29411764705882354,0.6769999999999997,0
Cell Propulsion ,77,2734.6938775510203,7.0,2.9054545454545453,0.08333333333333333,0.6451999999999993,0
MoEVing,72,-14.093264248704664,5.333333333333333,5.477777777777778,0.05263157894736842,0.0,0
Bolt.Earth,65,-20.0,4.166666666666667,14.76923076923077,0.23529411764705882,0.0,200300
Ultraviolette Automotive,63,-30.74675324675325,7.0,46.44444444444444,0.4375,0.45820000000000033,0
Chargeup,52,-25.0,5.333333333333333,5.769230769230769,0.23529411764705882,0.0,0
Charge+Zone,49,429.57142857142856,9.8,77.0,0.4166666666666667,0.0,46844
Kazam,40,472.1775793650794,8.333333333333334,4.58125,0.3333333333333333,0.4698999999999998,39875
River,27,47.72727272727273,3.0,24.88888888888889,0.25,3.5821,0
Vidyut,16,0.0,2.0,4.0,0.1111111111111111,0.0,0
Evage,8,0.0,1.0,56.0,0.3333333333333333,0.0,0
